id,title,authors,publishedDate,categories,description,averageRating,ratingsCount,source_query
iKr7zQEACAAJ,Oliver Twist Illustrated,Charles Dickens,2020-08-24,,"Charles Dickens was a prolific and highly influential 19th century British author, who penned such acclaimed works as 'Oliver Twist,' 'A Christmas Carol,' 'David Copperfield' and 'Great Expectations.",,,subject:fiction
AtovzgEACAAJ,A Tale of Two Cities Illustrated,Charles Dickens,2021-01-27,,"A Tale of Two Cities (1859) is a historical novel by Charles Dickens, set in London and Paris before and during the French Revolution. The novel tells the story of the French Doctor Manette, his 18-year-long imprisonment in the Bastille in Paris and his release to live in London with his daughter Lucie, whom he had never met. The story is set against the conditions that led up to the French Revolution and the Reign of Terror.",,,subject:fiction
oydPAxqIvCQC,The Joy Luck Club,Amy Tan,1990,Fiction,"Encompassing two generations and a rich blend of Chinese and American history, the story of four struggling, strong women also reveals their daughters' memories and feelings",,,subject:fiction
x-1VtAEACAAJ,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,2008-11,,"First serialized in 1887 in London magazines, Sherlock Holmes remains the greatest detective of all time. He was an instant hit with the public with his incisive mind and fearless approach to the truth. At a time when forensic science was just beginning to emerge, Holmes became the master of arcane knowledge and the criminal mind. His stunning leaps of deduction were the bane of England's evildoers and the envy of Scotland Yard. Arthur Conan Doyle killed Holmes off in 1891 when he tired of writing the stories, but public demand forced him to revive his hero shortly thereafter, and he continued with further adventures until 1927. Doyle wrote four Sherlock Holmes novels, and his short stories have been collected into five anthologies. Published over an astounding forty years, from A Study in Scarlet in 1887, to his final short stories published between 1921 and 1927, Holmes continues to thrill today. His name still evokes a vision of the smoking pipe and deerstalker hat, and remains synonymous with clever deduction and the ability to ferret out the truth from a maze of conflicting evidence. Enjoy all of Sherlock Holme's exploits in WingSpan Classic books. The Adventures of Sherlock Holmes The Memoirs of Sherlock Holmes The Return of Sherlock Holmes A Study in Scarlet The Sign of The Four The Hound of the Baskervilles The Valley of Fear His Last Bow The Case-Book of Sherlock Holmes",,,subject:fiction
KfjpzgEACAAJ,The Hunchback of Notre Dame (Annotated),Victor Hugo,2021-05-16,,"""The Hunchback of Notre Dame (French: Notre-Dame de Paris) is an 1831 French novel written by Victor Hugo. It is set in 1482 in Paris, in and around the cathedral of Notre Dame de Paris. The book tells the story of a poor barefoot Gypsy girl (La Esmeralda) and a misshapen bell-ringer (Quasimodo) who was raised by the Archdeacon (Claude Frollo). The book was written as a statement to preserve the Notre Dame cathedral and not to 'modernize' it, as Hugo was thoroughly against this.The story begins during the Renaissance in 1482, the day of the Festival of Fools in Paris. Quasimodo, the deformed bell ringer, is introduced by his crowning as Pope of Fools.Esméralda, a beautiful 16-year-old gypsy with a kind and generous heart, captures the hearts of many men but especially Quasimodo's adopted father, Claude Frollo. Frollo is torn between his lust and the rules of the church. He orders Quasimodo to get her. Quasimodo is caught and whipped and ordered to be tied down in the heat. Esméralda seeing his thirst, offers him water. It saves her, for she captures the heart of the hunchback.""",,,subject:fiction
0lPazQEACAAJ,The Wonderful Wizard of Oz Illustrated,Lyman Frank Baum,2020-09,,"The Wonderful Wizard of Oz (/ɒz/) is an American children's novel written by author L. Frank Baum and illustrated by W. W. Denslow, originally published by the George M. Hill Company in Chicago on May 17, 1900.It has since seen several reprints, most often under the title The Wizard of Oz, which is the title of the popular 1902 Broadway musical adaptation as well as the iconic 1939 live-action film.The story chronicles the adventures of a young farm girl named Dorothy in the magical Land of Oz, after she and her pet dog Toto are swept away from their Kansas home by a cyclone.",,,subject:fiction
wLm5oAEACAAJ,Black Beauty,Anna Sewell,2014-06-19,Fiction,"Black Beauty is an novel by English author Anna Sewell. The novel became an immediate best-seller and is one of the best-selling books of all time. The story is narrated in the first person as an autobiographical memoir told by the titular horse named Black Beauty—beginning with his carefree days as a colt on an English farm with his mother, to his difficult life pulling cabs in London, to his happy retirement in the country. Along the way, he meets with many hardships and recounts many tales of cruelty and kindness. Each short chapter recounts an incident in Black Beauty's life containing a lesson or moral typically related to the kindness, sympathy, and understanding treatment of horses, with Sewell's detailed observations and extensive descriptions of horse behaviour.",,,subject:fiction
U2LczQEACAAJ,Mansfield Park Illustrated,Jane Austen,2020-09-11,,"""Mansfield Park is the third published novel by Jane Austen, first published in 1814 by Thomas Egerton. A second edition was published in 1816 by John Murray, still within Austen's lifetime. The novel did not receive any public reviews until 1821.The novel tells the story of Fanny Price, starting when her overburdened family sends her at age ten to live in the household of her wealthy aunt and uncle and following her development into early adulthood. From early on critical interpretation has been diverse, differing particularly over the character of the heroine, Austen's views about theatrical performance and the centrality or otherwise of ordination and religion, and on the question of slavery. Some of these problems have been highlighted in the several later adaptations of the story for stage and screen.""",,,subject:fiction
BV3kPQAACAAJ,The Miracles of the Antichrist,Selma Lagerlof,2002-12-01,Religion,"The Miracles of Antichrist relies heavily on the legends and folk tales of Sicily. The descriptions, rich in the warm colors of the South, convey Lagerlvf's understanding of the hot blooded Sicilians with the same insight and sympathy which she evokes while describing the introspective Swedes. Lagerlvf borrows from an ancient Sicilian legend which says, ""When Antichrist comes he shall seem as Christ. There shall be great want, and Antichrist shall go from land to land and give bread to the poor. And he shall find many followers."" Masterfully, she intertwines a tale of modern Sicily in an era when revolutionary socialism is sweeping the island and making heavy inroads upon the influence of the church. Selma Ottiliana Lovisa Lagerlvvf (1858-1940) was born in Sweden. She had been writing poetry ever since she was a child, but she did not publish anything until 1890, when a Swedish newspaper gave her the first prize in a literary competition and published excerpts from her first novel, Gvsta Berlings Saga (published in 1891 and very successful). During her travels to Italy she wrote The Miracles of Antichrist in 1897. After several minor works she published Jerusalem (translated in English as The Holy City) but it was with The Wonderful Adventures of Nils, a book for children, that she became recognized worldwide. In 1909.she became the first woman and also the first Swedish writer to win the Nobel Prize for Literature. She was so popular that her books were translated into 34 languages.",,,subject:fiction
B42VxAEACAAJ,David Copperfield,Charles Dickens,2019-04-23,,David Copperfield is a somewhat autobiographical novel that tells the story of a poor young boy who becomes a famous writer. This is Dickens' eighth novel and is widely regarded as the first of his mature novels.,,,subject:fiction
5OSUnQAACAAJ,The Handmaid's Tale,Margaret Atwood,2017-04-25,Fiction,"Now a Hulu Original Series The Handmaid's Tale is a novel of such power that the reader will be unable to forget its images and its forecast. Set in the near future, it describes life in what was once the United States and is now called the Republic of Gilead, a monotheocracy that has reacted to social unrest and a sharply declining birthrate by reverting to, and going beyond, the repressive intolerance of the original Puritans. The regime takes the Book of Genesis absolutely at its word, with bizarre consequences for the women and men in its population. The story is told through the eyes of Offred, one of the unfortunate Handmaids under the new social order. In condensed but eloquent prose, by turns cool-eyed, tender, despairing, passionate, and wry, she reveals to us the dark corners behind the establishment's calm facade, as certain tendencies now in existence are carried to their logical conclusions. The Handmaid's Tale is funny, unexpected, horrifying, and altogether convincing. It is at once scathing satire, dire warning, and a tour de force. It is Margaret Atwood at her best.",,,subject:fiction
a6lzwQEACAAJ,Burning Daylight,Jack London,2019-01-24,Fiction,"Burning Daylight is a novel by Jack London, published in 1910, which was one of the best-selling books of that year and it was London's best-selling book in his lifetime. The novel takes place in the Yukon Territory in 1893.",,,subject:fiction
rBSXzQEACAAJ,Sense and Sensibility by Jane Austen the New Annotated Edition,Jane Austen,2020-05-04,,"The novel follows the three Dashwood sisters as they must move with their widowed mother from the estate on which they grew up, Norland Park. Because Norland is passed down to John, the product of Mr. Dashwood's first marriage, and his young son, the four Dashwood women need to look for a new home. They have the opportunity to rent a modest home, Barton Cottage, on the property of a distant relative, Sir John Middleton. There they experience love, romance, and heartbreak.",,,subject:fiction
ROpV9lk5SHsC,The Heiress,Jude Deveraux,1995-12-01,Fiction,"An enchanting and entertaining romance from New York Times bestselling author Jude Deveraux! Jamie Montgomery, an impoverished Elizabethan knight, is elated when he is assigned to escort Axia, the Lancaster heiress, to the castle of her betrothed. If only she will fall in love with Jamie—as Jamie's devoted older sister predict—the family's financial woes will be solved. But Axia, who has spent her life closely guarded by her father's servants, is not the shy, cossetted flower Jamie expects. She's a hoyden, hell-bent on enjoying her precious moments of liberty before her marriage to a man chosen by her remote, eccentric father. After curtly informing Jamie not to bother declaring his love for her—as all poor, handsome men seem wont to do—Axia makes his life a misery, sneaking off to the marketplace, nearly breaking her neck on a runaway horse, and doing everything possible to delay the trip. Though she dare not admit it, even to herself, Axia dreads being wed to a stranger. Suddenly Jamie realizes that he savors even her most barbed words like the rarest nectar..and that he is falling desperately in love with this bold, maddening beauty. Now he must contrive a daring plan to win her freedom—and win her proud, defiant heart for his own!",,,subject:fiction
9F-ozQEACAAJ,The Jungle,Upton Sinclair,2020-01-23,,"The Jungle is a 1906 novel written by the American journalist and novelist Upton Sinclair (1878-1968). Sinclair wrote the novel to portray the harsh conditions and exploited lives of immigrants in the United States in Chicago and similar industrialized cities. However, most readers were more concerned with his exposure of health violations and unsanitary practices in the American meatpacking industry during the early 20th century, based on an investigation he did for a socialist newspaper.The book depicts working class poverty, the lack of social supports, harsh and unpleasant living and working conditions, and a hopelessness among many workers. These elements are contrasted with the deeply rooted corruption of people in power. A review by the writer Jack London called it, ""the Uncle Tom's Cabin of wage slavery"".Sinclair was considered a muckraker, or journalist who exposed corruption in government and business.He first published the novel in serial form in 1905, in the Socialist newspaper, Appeal to Reason, between February 25, 1905 and November 4, 1905. In 1904, Sinclair had spent seven weeks gathering information while working incognito in the meatpacking plants of the Chicago stockyards for the newspaper. It was published as a book on February 26, 1906, by Doubleday and in a subscribers' edition.A film version of the novel was made in 1914, but it has since become lost.",,,subject:fiction
J4-MEAAAQBAJ,The Black Arrow,Robert Louis Stevenson,2007-12-18,Fiction,"From the beloved author of Treasure Island Originally serialized in a periodical of boys' adventure fiction, The Black Arrow is a swashbuckling portrait of a young man's journey to discover the heroism within himself. Young Dick Shelton, caught in the midst of England's War of the Roses, finds his loyalties torn between the guardian who will ultimately betray him and the leader of a secret fellowship, The Black Arrow. As Shelton is drawn deeper into this conspiracy, he must distinguish friend from foe and confront war, shipwreck, revenge, murder, and forbidden love, as England's crown threatens to topple around him. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",,,subject:fiction
_Lw4uQEACAAJ,The Lost World,Arthur Conan Doyle,2018-07-14,,"The Lost World by Arthur Conan Doyle Resigned after acrimonious correspondence same year. Winner of Crayston Medal for Zoological Research. Foreign Member of'--well, quite a lot of things, about two inches of small type--`Societe Belge, American Academy of Sciences, La Plata, etc., etc. Ex-President Palaeontological Society. Section H, British Association'--so on, so on!--`Publications: ""Some Observations Upon a Series of Kalmuck Skulls""; ""Outlines of Vertebrate Evolution""; and numerous papers, including ""The underlying fallacy of Weissmannism,"" which caused heated discussion at the Zoological Congress of Vienna. Recreations: Walking, Alpine climbing. Address: Enmore Park, Kensington, W.' ""There, take it with you. I've nothing more for you to-night."" I pocketed the slip of paper. We are delighted to publish this classic book as part of our extensive Classic Library collection. Many of the books in our collection have been out of print for decades, and therefore have not been accessible to the general public. The aim of our publishing program is to facilitate rapid access to this vast reservoir of literature, and our view is that this is a significant literary work, which deserves to be brought back into print after many decades. The contents of the vast majority of titles in the Classic Library have been scanned from the original works. To ensure a high quality product, each title has been meticulously hand curated by our staff. Our philosophy has been guided by a desire to provide the reader with a book that is as close as possible to ownership of the original work. We hope that you will enjoy this wonderful classic work, and that for you it becomes an enriching experience.",,,subject:fiction
_v5JPgAACAAJ,The Log of Christopher Columbus,"Christopher Columbus, Steve Lowe",1992,Juvenile Nonfiction,"A simple adaptation of excerpts in Columbus's diary, from his departure from Spain to his landing in the New World in 1492.",,,subject:fiction
u9yNjwEACAAJ,The Scarlet Letter,Nathaniel Hawthorne,2016-02-15,,"Why buy our paperbacks? Standard Font size of 10 for all books High Quality Paper Fulfilled by Amazon Expedited shipping 30 Days Money Back Guarantee BEWARE of Low-quality sellers Don't buy cheap paperbacks just to save a few dollars. Most of them use low-quality papers & binding. Their pages fall off easily. Some of them even use very small font size of 6 or less to increase their profit margin. It makes their books completely unreadable. How is this book unique? Unabridged (100% Original content) Formatted for e-reader Font adjustments & biography included Illustrated About The Scarlet Letter by Nathaniel HawthorneThe Scarlet Letter: A Romance is an 1850 work of fiction in a historical setting, written by Nathaniel Hawthorne, and is considered to be his best work. Set in 17th-century Puritan Boston, Massachusetts, during the years 1642 to 1649, it tells the story of Hester Prynne, who conceives a daughter through an affair and struggles to create a new life of repentance and dignity. Throughout the book, Hawthorne explores themes of legalism, sin, and guilt.",,,subject:fiction
hQlVxQEACAAJ,To the Lighthouse,Virginia Woolf,2019-05-04,,"To the Lighthouse (5 May 1927) is a novel by Virginia Woolf. A landmark novel of high modernism, the text, centering on the Ramsay family and their visits to the Isle of Skye in Scotland between 1910 and 1920, skillfully manipulates temporality and psychological exploration.To the Lighthouse follows and extends the tradition of modernist novelists like Marcel Proust and James Joyce, where the plot is secondary to philosophical introspection, and the prose can be...",,,subject:fiction
mSNAAQAAIAAJ,This Gun for Hire,Graham Greene,1982,Fiction,The story of a professional killer and an exploration of the twisted and tortured psyche of the hardened criminal.,,,subject:fiction
Djyq0QEACAAJ,In Cold Blood,Truman Capote,2026-04-30,Fiction,,,,subject:fiction
U6zhwgEACAAJ,Farmer Boy,Laura Ingalls Wilder,2018-12-11,,"Growing up on his family's farm in New York, Almanzo Wilder wishes for just one thing-his very own horse. But Father doesn't yet trust him with such a big responsibility. Almanzo needs to prove himself-but how? Almanzo's story as a young man, Almanzo Wilder will meet a brown-eyed, brown-haired girl named Laura Ingalls and fall in love. But as a young boy, Almanzo has no time for girls! His life is about farming and chores, and most of all, about wanting his own horse. Before his dreams can come true, Almanzo must prove to his father that he is ready to take on more responsibilities - and this is harder than he ever imagined",,,subject:fiction
qaioxAEACAAJ,The Life and Adventures of Santa Claus,L Frank Baum,2019-04-24,,"Draw close to the fire, all you who believe in the spirit of Christmas, whether you call it Santa Claus, or simply good will to men; and listen to the story of Nicholas the Wandering Orphan who became Nicholas the Wood-carver, a lover of little children. Follow him through his first years as a lonely little boy, who had the knack of carving playthings for children; then as a young man, busy over the little toys; then as a prosperous, fat, rosy old man, who overcomes all sorts of difficulties in order to attain his ambition, a toy for every child in the village. Learn how he started to drive a beautiful sleigh drawn by prancing reindeer; why he first came down a chimney; how he filled the first stocking; where the first Christmas tree was decorated; and finally how he came to be known as ""Saint Nicholas"" and ""Santa Claus.""",,,subject:fiction
cVyWswEACAAJ,The Waves,Virginia Woolf,2017-07-06,,The classic book has always read again and again.,,,subject:fiction
Qun1swEACAAJ,War and Peace,Leo Tolstoy,2017-09-23,,The classic book has always read again and again.,,,subject:fiction
xF2qPQAACAAJ,Bag of Bones,Stephen King,1998-09,,"The number 1 bestseller: King at the peak of his powers - at once a first-rate suspense novel, a legal thriller, a haunted house story and a love story.",,,subject:fiction
_xdvswEACAAJ,Julius Caesar (Large Print),William Shakespeare,2018-02-20,,"The printed books from Literary Domain Publishing are made on white quality paper with the size of 6x9 - the Shakespearan plays with a large font size of 12. Most of the books by Literary Domain Publishing are Public Domain and are ""re-published"" in order to make the books more readily available to the modern era. A commentary is usually supplied so a reader can quickly pre-view to see if it is worthwhile to invest the time in reading the book. It also gives an accurate book review by a qualified source or reader.",,,subject:fiction
44STuAAACAAJ,Frankenstein,Mary Wollstonecraft Shelley,1990-01-01,Fiction,A monster assembled by a scientist from parts of dead bodies develops a mind of his own as he learns to loathe himself and hate his creator.,,,subject:fiction
mSyjuQAACAAJ,Black House,"Stephen King, Peter Straub",2001,,,,,subject:fiction
t8zVugEACAAJ,The Power of Movement in Plants,Charles Darwin,2018-08-12,,"The Power of Movement in Plants By Charles Darwin, 1880 to the light, which are so general throughout the vegetable kingdom, and occasionally from the light, or transversely with respect to it, are all modified We are delighted to publish this classic book as part of our extensive Classic Library collection. Many of the books in our collection have been out of print for decades, and therefore have not been accessible to the general public. The aim of our publishing program is to facilitate rapid access to this vast reservoir of literature, and our view is that this is a significant literary work, which deserves to be brought back into print after many decades. The contents of the vast majority of titles in the Classic Library have been scanned from the original works. To ensure a high quality product, each title has been meticulously hand curated by our staff. Our philosophy has been guided by a desire to provide the reader with a book that is as close as possible to ownership of the original work. We hope that you will enjoy this wonderful classic work, and that for you it becomes an enriching experience.",,,subject:fiction
ttoMzgEACAAJ,Burning Daylight Annotated,John Griffith London,2020-11-19,,"Burning Daylight is a novel by Jack London, published in 1910, which was one of the best-selling books of that year and it was London's best-selling book in his lifetime. The novel takes place in the Yukon Territory in 1893. The main character, nicknamed ""Burning Daylight"" was the most successful entrepreneur of the Alaskan Gold Rush. The story of the main character was partially based upon the life of Oakland entrepreneur ""Borax"" Smith. The novel was subsequently filmed as a First National movie starring Milton Sills with Doris Kenyon.",,,subject:fiction
sd2JtAEACAAJ,The Canterville Ghost,"Oscar Wilde, J. V. Editors",2017-10-24,,"""The Canterville Ghost"" is a parody featuring a dramatic spirit named Sir Simon and the United States minister (ambassador) to the Court of St. James's, Hiram B. Otis. Mr. Otis travels to England with his family and moves into a haunted country house. Lord Canterville, the previous owner of the house, warns Mr. Otis that the ghost of Sir Simon de Canterville has haunted it ever since he killed his wife, Eleonore, three centuries before. But Mr. Otis dismisses the ghost story as bunk and disregards Lord Canterville's warnings. When the Otises learn that the house is indeed haunted, they succeed in victimizing the ghost and in disregarding age-old British traditions. What emerges is a satire of American materialism, a lampoon of traditional British values, and an amusing twist on the traditional gothic horror tale.",,,subject:fiction
FR2Z0-Z65oMC,Down on My Knees,Victor McGlothin,2006,Fiction,C.1 ST. AID B & T. 01-17-2008. $15.00.,,,subject:romance
tWbVwZjv43kC,The Glass Menagerie,Tennessee Williams,1999,Drama,The only single edition now available of this American classic about a mother obsessed with her disabled daughter.,4.0,14.0,subject:romance
RNmODAAAQBAJ,The Japanese Lover,Isabel Allende,2016-07-05,Fiction,"In 1939, as Poland falls under the shadow of the Nazis, young Alma Belasco's parents send her away to live in safety with an aunt and uncle in their opulent mansion in San Francisco. There, as the rest of the world goes to war, she encounters Ichimei Fukuda, the quiet and gentle son of the family's Japanese gardener. Unnoticed by those around them, a tender love affair begins to blossom. Following the Japanese attack on Pearl Harbor, the two are cruelly pulled apart as Ichimei and his family -- like thousands of other Japanese Americans -- are declared enemies and forcibly relocated to internment camps run by the United States government. Throughout their lifetimes, Alma and Ichimei reunite again and again, but theirs is a love that they are forever forced to hide from the world. Decades later, Alma is nearing the end of her long and eventful life. Irina Bazili, a care worker struggling to come to terms with her own troubled past, meets the elderly woman and her grandson, Seth, at San Francisco's charmingly eccentric Lark House nursing home. As Irina and Seth forge a friendship, they become intrigued by a series of mysterious gifts and letters sent to Alma, eventually learning about Ichimei and this extraordinary secret passion that has endured for nearly seventy years.",,,subject:romance
Y12-OQ5BDjcC,Northern Lights,Nora Roberts,2004,Fiction,"Lunacy, Alaska - population 506 - is Nate Burke's last chance. As a Baltimore cop, he had watched his partner die - and the guilt still haunts him. Maybe serving as Chief of Police in this tiny, remote town, where darkness falls by mid-afternoon and temperatures fall to below zero, will bring some kind of solace. It isn't as if he has anywhere else to go. Aside from sorting out a run-in between a couple of motor vehicles and a moose and pulling apart two brothers fighting overJohn Wayne's best movie Nate's first weeks on the job are relatively quiet. But as he wonders whether this was all a big mistake, an unexpected kiss from feisty bush pilot Meg Galloway under the brilliant Northern Lights of the Alaska sky lifts his spirit - and convinces him to stay just a little longer. Born and raised in Lunacy, Meg has learned to be independent. But there's something about Nate's sad eyes that gets under her skin, and warms her frozen heart. However, when two climbers find a corpse on the mountain, Nate discovers that Lunacy isn't quite the sleepy little backwater he imagined.",,,subject:romance
7xWHngEACAAJ,The House of the Seven Gables,"Nathaniel Hawthorne, Philip Young",1970,Classic,,,,subject:romance
AGuA58sHm-kC,Toxic Bachelors,Danielle Steel,2005,Fiction,"Three daunting bachelors embark on a journey to the Mediterranean where they face women who challenge their deepest relationship phobias, sparking big changes in the once-carefree trio that just might put an end to their carousing days.",,,subject:romance
EvqJCGeqKhsC,Pride and Prejudice,Jane Austen,1980,Fiction,The text of Pride and Prejudice is the 1813 first edition text.,,,subject:romance
pd4nAAAAQBAJ,Twisted Perfection,Abbi Glines,2013-07-30,Fiction,"""Della Sloane is not your average girl. Yearning to break free of her dark and sheltered past and the memories of the illness that claimed her mother, Della plans a solo road trip to experience real life on her own terms. But the trip is nearly cut short in the little beach town of Rosemary when she realizes she can't even pump her own gas; until Woods Kerrington shows up, more than willing to help out a pretty girl in need.""--Page 4 of cover.",,,subject:romance
SxPUCwAAQBAJ,Me Before You (Movie Tie-In),Jojo Moyes,2016-04-26,Fiction,"Taking a job as an assistant to extreme sports enthusiast Will, who is wheelchair bound after a motorcycle accident, Louisa struggles with her employer's acerbic moods and learns of his shocking plans before demonstrating to him that life is still worth living.",5.0,1.0,subject:romance
Ji-HHj8i6roC,Daughter of the Forest,Juliet Marillier,2000,Fiction,"To reclaim the lives of her brothers, Sorcha leaves the only safe place she has known and starts on a journey of pain, loss, and terror.",4.5,8.0,subject:romance
dba8BwAAQBAJ,When I'm Gone,Abbi Glines,2015-04-07,Fiction,"""A ... novel set in the fictional town of Rosemary Beach about a Texas rancher who falls in love with a housemaid at his rock star father's estate""--",,,subject:romance
_y8kwT-j3sUC,Simple Gifts,"Judith McNaught, Jude Deveraux",2001-12,Fiction,4 Heartwarming Christmas Stories.,,,subject:romance
SRR5DAAAQBAJ,Up in Flames,Abbi Glines,2016-06-28,Fiction,"""The villain of Rosemary Beach finally gets her own happy ending in the long-awaited final novel of the #1 New York Times bestselling new adult romance series by Abbi Glines""--",,,subject:romance
QES7mCcS4EwC,Above and Beyond,Sandra Brown,1986,Fiction,Trevor's love for Kyla--the widow of his best friend--is complicated by a secret that threatens to destroy their fragile relationship,,,subject:romance
2yDOBgAAQBAJ,Promise Canyon,Robyn Carr,2015-04-28,Fiction,"Clay Tahoma, Virgin River's new veterinary assistant, is welcomed by everyone in town except Lilly Yazhi, who believes that his down-to-earth attitude and rugged sex appeal is an act to charm wealthy women like his ex-wife.",,,subject:romance
UbzCTzSyy6cC,Because of Low,Abbi Glines,2013-07-02,Fiction,"Originally self-published as an e-book, 2012.",,,subject:romance
YlqxBgAAQBAJ,Stealing Home,Sherryl Woods,2014-11-25,Fiction,"#1 New York Times bestselling author Sherryl Woods returns readers to her world of strong friendships and heartfelt emotions in this classic Sweet Magnolias novel Maddie Townsend might live in a town called Serenity but there's been nothing calm or peaceful about her life since her marriage broke up. This stay-at-home mom has no job skills, an out-of-control sixteen-year-old son, a talkative fourteen-year-old who's suddenly gone silent, a six-year-old daughter whose heart is broken, an ex-husband whose younger girlfriend is expecting their baby and two best friends who think she's somehow qualified to help them open a fitness spa for women. But if Maddie is a tad on edge with all that on her plate, it's nothing compared to the chaos that ensues when she discovers that her son's baseball coach has feelings for her and the whole town disapproves. Maddie's faced a lot of challenges lately with strength and resolve, but Cal Maddox may turn out to be more than she can handle. Then again, he could just be the one man in all of South Carolina who can help her find serenity.",,,subject:romance
n4GmAwAAQBAJ,Sometimes It Lasts,Abbi Glines,2014-06-03,Fiction,"Enduring a long-distance relationship with the beautiful but hot-tempered Eva after landing a baseball scholarship, Cage resolves to prove his worth when he learns that Eva has been consoling herself in the arms of another man.",,,subject:romance
4TtmtWzIIpsC,Captivated,Nora Roberts,2004-01-25,Fiction,His interest in her was purely professional ... or so he told himself.,4.0,6.0,subject:romance
r1uxBgAAQBAJ,A Slice of Heaven,Sherryl Woods,2015-02-24,Fiction,"Emotions run high when the Sweet Magnolias try to reunite a couple who was meant to be together in this classic from #1 New York Times bestselling author Sherryl Woods When an eating disorder threatens the life of chef Dana Sue Sullivan's teenage daughter, she has no choice but to bring Annie's cheating dad back to Serenity, South Carolina. She tells herself and her friends it's all about Annie, but the sad truth is she has a boatload of unresolved feelings of her own for Ronnie Sullivan. From the moment Ronnie hits town, there's no question about his intentions. He's there for his daughter, to be sure, but he wants Dana Sue back, and every move he makes is designed to prove he's a changed man. The one thing that's never changed, though, are the sparks that fly whenever the two of them are in the same room. Dana Sue can deny all she wants that Ronnie's the only man for her, but not a single person in town is buying it. No matter the circumstances, Ronnie's return is a sweet recipe for a new beginning.",,,subject:romance
0VqxBgAAQBAJ,Dogwood Hill,Sherryl Woods,2014-12-30,Fiction,"When former pro football quarterback Aidan Mitchell comes to Chesapeake Shore to coach the high school team, Liz March, who has sworn off men, finds herself falling for him until a devastating secret from his past threatens to destroy everything.",,,subject:romance
X2hjAwAAQBAJ,One More Chance,Abbi Glines,2014-09-02,Fiction,"""A new adult novel about Grant and Harlow in the Rosemary Beach series""--",,,subject:romance
tWHaCwAAQBAJ,Down the Rabbit Hole,"J. D. Robb, Mary Blayney, Elaine Fox, Mary Kay McComas, Ruth Ryan Langan",2015-09-29,Fiction,"Inspired by the enchanting Lewis Carroll classic, a collection of stories, takes readers to a place rife with the mad, impossible, and the curiouser that is neither here nor there and where things are never quite as they seem.",,,subject:romance
xYUxEDRnWiIC,Special Delivery,Danielle Steel,1997,Fiction,"Tells the story of Jack Watson, a wealthy Beverly Hills businessman and widower, who falls in love with his daughter-in-law's mother and together they discover a relationship marked by challenges and surprises.",,,subject:romance
1kFBPgAACAAJ,Dance Upon the Air,Nora Roberts,2001-06,Fiction,"When Nell Channing arrives on Three Sisters Island, off the coast of Massachusetts, she believes she's finally found refuge from her abusive husband. But even with her carefully concealed name, she doesn't feel at ease. Then she learns that the island suffers under a terrible curse -- one that can be broken only by the descendants of the Three Sisters, the witches who settled the island, and she, along with 2 other strong women, must find the power to save her home, her new love ... and herself.",,,subject:romance
-k2LFLSdY0IC,Mastering the Marquess,Vanessa Kelly,2009-04,Fiction,"""Since the loss of her parents, Meredith Burnley has contented herself with a solitary life looking after her half-sister, Annabel. But Meredith's peace is shattered when her uncle schemes to marry her off to his son in order to gain her inheritance. Desperate, Meredith has only one choice: to flee with Annabel to their estranged grandparents' home. But their arrival soon reignites a family scandal--and kindles unexpected romance ... Happily reunited with the girls, Annabel's grandmother resolves to convince her nephew, Stephen Mallory, the Marquess of Silverton, to abandon his rakish lifestyle and wed Annabel. Stephen is clearly captivated--but with the wrong sister. Determined to make Meredith his own, Stephen embarks on a seduction that will leave her with no choice but to surrender to his touch ...""--Page 4 of cover.",,,subject:romance
FTDuAAAAMAAJ,Sons and Lovers,David Herbert Lawrence,1977,Fiction,A provocative portrait of an artist torn between love for his possessive mother and desire for two young beautiful women. It is also the story of Paul Morel's growing into manhood torn by both inner and outer conflict.,,,subject:romance
JmctAAAAMAAJ,"Her Letter, His Answer & Her Last Letter",Bret Harte,1905,American poetry,Poems written from the point of view of a woman.,,,subject:romance
jPJzzQEACAAJ,Layla,Colleen Hoover,2020-12-08,Fiction,"""When Leeds meets Layla, he's convinced he'll spend the rest of his life with her--until an unexpected attack leaves Layla fighting for her life. After weeks in the hospital, Layla recovers physically, but the emotional and mental scarring has altered the woman Leeds fell in love with. In order to put their relationship back on track, Leeds whisks Layla away to the bed-and-breakfast where they first met. Once they arrive, Layla's behavior takes a bizarre turn. And that's just one of many inexplicable occurrences.""--",5.0,2.0,subject:romance
ig1NfvdjQgIC,Emma,Jane Austen,1996,Fiction,"Each of these four crocheted afghans by Sandy Rideout has its own fun details that kids will love, such as dimensional wings or a lacy pattern in the edging. There are black-and-yellow bumble bees buzzing on a red throw, sweet lady bugs marching on a white and green afghan, multicolored butterflies on a black throw with variegated borders and edging, and a dragonfly blanket that is lovely in shades of lavender and blue.",,,subject:romance
myg7cwLFzwYC,The Legacy,Linda Lael Miller,1994,Fiction,An Australian sheep rancher's dying wish is that his daughter marry the man who was both her first love and unfaithful to her a decade earlier.,,,subject:romance
